,Cluster,gender,age,residence,daily allowance,attendance,dismissal,travel,breaks,transportation,foodCampus,Q1,Q2,Q3
16,0,Male,21,General Trias,₱200 to ₱500,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Around 1km (approx. distance from Gate 3 to Food Square),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",No,Gate 1,Rice meal,Below ₱100
17,0,Prefer not to say,23,Imus,₱200 to ₱500,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",No,Gate 1,Rice meal,Below ₱100
18,1,Male,21,General Trias,₱100 to ₱200,3 to 4 times a week,Noon (12:00PM),Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Personal transportation (e.g. car, motorcycle)",No,Karinderya,Rice meal,Below ₱100
19,1,Male,22,Outside Cavite,Below ₱100,1 to 2 times a week,"Evening (e.g. 6:00PM, 7:00PM)",Around 1km (approx. distance from Gate 3 to Food Square),1 break,"Commute (e.g. jeep, bus, tricycle)",No,Baon,"Finger foods (e.g., fries, takoyaki, etc)",Below ₱100
20,1,Male,22,Dasma,₱100 to ₱200,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,Bicycle,Yes,Food Square,"Rice meal, Water, I bring my own food",₱100 to ₱200
21,1,Male,22,General Trias,₱100 to ₱200,1 to 2 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",No,Gate 1,"Rice meal, Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",Below ₱100
22,1,Male,22,Imus,₱200 to ₱500,3 to 4 times a week,"Evening (e.g. 6:00PM, 7:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",No,District Imus,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200
23,0,Male,20,Imus,₱200 to ₱500,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc), Water, I bring my own food",₱200 to ₱500
24,1,Prefer not to say,22,Dasma,₱100 to ₱200,1 to 2 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Beverages (e.g., fruit/milk shake, lemonade, coffee, etc), Water",₱100 to ₱200
25,1,Female,21,Outside Cavite,₱100 to ₱200,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",More than 1km,1 break,"Commute (e.g. jeep, bus, tricycle)",No,SM Dasma,Rice meal,₱200 to ₱500
26,1,Male,21,Imus,₱100 to ₱200,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",No,Jollibee,Rice meal,₱100 to ₱200
27,1,Male,21,Dasma,₱200 to ₱500,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",No,Gate 1,Rice meal,Below ₱100
28,1,Male,20,General Trias,"₱500 to ₱1,000",3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Personal transportation (e.g. car, motorcycle)",No,Waltermart,Rice meal,₱200 to ₱500
29,1,Male,20,Dasma,₱100 to ₱200,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",No,Gate 1,Rice meal,Below ₱100
30,1,Female,21,Imus,₱100 to ₱200,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc), I bring my own food",₱100 to ₱200
31,0,Female,20,Imus,₱200 to ₱500,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200
32,1,Male,21,Dasma,₱100 to ₱200,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",No,SM Dasma,"Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200
33,0,Male,20,General Trias,₱200 to ₱500,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Personal transportation (e.g. car, motorcycle)",No,Food panda,"Finger foods (e.g., fries, takoyaki, etc)",₱100 to ₱200
34,1,Female,19,General Trias,₱100 to ₱200,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Around 1km (approx. distance from Gate 3 to Food Square),1 break,"Personal transportation (e.g. car, motorcycle)",No,McDonald's,Burger,₱100 to ₱200
35,1,Female,21,Dasma,Below ₱100,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",No,Gate 1,Rice meal,Below ₱100
36,0,Male,21,Kawit,₱100 to ₱200,3 to 4 times a week,Noon (12:00PM),Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",Below ₱100
37,0,Female,22,Bacoor,₱200 to ₱500,1 to 2 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Personal transportation (e.g. car, motorcycle)",Yes,Food Square,Rice meal,₱100 to ₱200
38,1,Male,23,Silang,₱100 to ₱200,1 to 2 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",No,Gate 1,Rice meal,₱100 to ₱200
39,1,Male,22,Dasma,₱100 to ₱200,1 to 2 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Around 1km (approx. distance from Gate 3 to Food Square),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Beverages (e.g., fruit/milk shake, lemonade, coffee, etc), Water",₱100 to ₱200
40,1,Female,21,Imus,₱100 to ₱200,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200
41,0,Female,23,Dasma,₱200 to ₱500,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200
42,1,Male,22,Bacoor,₱100 to ₱200,1 to 2 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Water",₱100 to ₱200
43,0,Female,20,Imus,₱100 to ₱200,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,Rice meal,₱100 to ₱200
44,1,Male,22,Silang,₱100 to ₱200,1 to 2 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200
45,1,Female,22,Dasma,₱200 to ₱500,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc), Water",₱100 to ₱200
46,0,Male,22,Bacoor,₱200 to ₱500,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Personal transportation (e.g. car, motorcycle)",Yes,Food Square,"Rice meal, Water",₱100 to ₱200
47,0,Male,20,Imus,₱100 to ₱200,3 to 4 times a week,Noon (12:00PM),Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,Rice meal,₱100 to ₱200
48,0,Male,23,Silang,₱200 to ₱500,1 to 2 times a week,Noon (12:00PM),Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200
49,0,Male,22,Imus,₱200 to ₱500,1 to 2 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Personal transportation (e.g. car, motorcycle)",Yes,Food Square,"Rice meal, Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200
50,1,Male,20,Imus,₱100 to ₱200,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,Rice meal,₱100 to ₱200
51,0,Male,21,Outside Cavite,₱200 to ₱500,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Around 1km (approx. distance from Gate 3 to Food Square),1 break,"Commute (e.g. jeep, bus, tricycle)",No,Gate 1,Rice meal,Below ₱100
52,1,Female,22,Silang,₱200 to ₱500,3 to 4 times a week,Morning (e.g. 10:00AM),Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Personal transportation (e.g. car, motorcycle)",Yes,Gate 1,Rice meal,₱100 to ₱200
53,1,Male,22,Imus,₱100 to ₱200,1 to 2 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Around 1km (approx. distance from Gate 3 to Food Square),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",No,Japanese restaurants in front of gate 1,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200
54,1,Female,22,Imus,₱200 to ₱500,1 to 2 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Around 1km (approx. distance from Gate 3 to Food Square),1 break,"Personal transportation (e.g. car, motorcycle)",Yes,Food Square,"Rice meal, Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200
55,0,Male,20,Bacoor,₱100 to ₱200,1 to 2 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Water",₱100 to ₱200
56,0,Male,22,Imus,₱200 to ₱500,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Personal transportation (e.g. car, motorcycle)",Yes,Food Square,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc), Water, I bring my own food",₱100 to ₱200
57,1,Male,22,Dasma,₱100 to ₱200,1 to 2 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Water",₱100 to ₱200
58,0,Male,21,Silang,₱200 to ₱500,3 to 4 times a week,Noon (12:00PM),Around 1km (approx. distance from Gate 3 to Food Square),2-3 breaks,"Personal transportation (e.g. car, motorcycle)",Yes,Food Square,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200
59,0,Male,21,Bacoor,₱200 to ₱500,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",No,Waltermart,"Rice meal, Beverages (e.g., fruit/milk shake, lemonade, coffee, etc), Water",₱200 to ₱500
60,0,Male,20,Bacoor,₱200 to ₱500,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Milas' Canteen,"Rice meal, Water",₱100 to ₱200
61,1,Male,22,Imus,₱200 to ₱500,1 to 2 times a week,Noon (12:00PM),Around 1km (approx. distance from Gate 3 to Food Square),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,Rice meal,Below ₱100
62,0,Female,22,Dasma,₱200 to ₱500,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Around 1km (approx. distance from Gate 3 to Food Square),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",No,Waltermart,"Rice meal, Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200
63,0,Male,22,Bacoor,₱200 to ₱500,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200
64,0,Male,20,Kawit,₱100 to ₱200,1 to 2 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Milas' Canteen,Rice meal,Below ₱100
65,1,Female,21,Silang,₱100 to ₱200,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Around 1km (approx. distance from Gate 3 to Food Square),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200
66,1,Male,20,Dasma,₱100 to ₱200,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",No,Gate 1,Rice meal,₱100 to ₱200
67,0,Male,20,Imus,₱200 to ₱500,1 to 2 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Personal transportation (e.g. car, motorcycle)",Yes,Food Square,"Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200
68,1,Male,23,Bacoor,₱100 to ₱200,1 to 2 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200
69,0,Female,20,Bacoor,₱200 to ₱500,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Around 1km (approx. distance from Gate 3 to Food Square),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc), Water",₱100 to ₱200
70,1,Male,21,Dasma,₱100 to ₱200,3 to 4 times a week,Noon (12:00PM),Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Water",₱100 to ₱200
71,0,Male,18,Bacoor,₱200 to ₱500,1 to 2 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Around 1km (approx. distance from Gate 3 to Food Square),1 break,"Personal transportation (e.g. car, motorcycle)",Yes,Food Square,Rice meal,₱100 to ₱200
72,1,Male,18,General Trias,₱100 to ₱200,1 to 2 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Around 1km (approx. distance from Gate 3 to Food Square),1 break,"Personal transportation (e.g. car, motorcycle)",Yes,Food Square,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200
73,1,Male,22,Outside Cavite,"₱500 to ₱1,000",3 to 4 times a week,Noon (12:00PM),Around 1km (approx. distance from Gate 3 to Food Square),1 break,"Commute (e.g. jeep, bus, tricycle)",No,Home,Rice meal,₱200 to ₱500
74,1,Female,22,Dasma,₱100 to ₱200,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, I bring my own food",Below ₱100
75,1,Female,19,Dasma,"₱500 to ₱1,000",3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Around 1km (approx. distance from Gate 3 to Food Square),1 break,"Personal transportation (e.g. car, motorcycle)",No,Sta. Fe,Rice meal,₱100 to ₱200
76,0,Male,20,Dasma,₱100 to ₱200,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Around 1km (approx. distance from Gate 3 to Food Square),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc), Water",₱100 to ₱200
77,1,Male,18,Dasma,₱100 to ₱200,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",More than 1km,1 break,"Commute (e.g. jeep, bus, tricycle)",No,Gate 1,"Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",Below ₱100
78,1,Female,19,Dasma,₱100 to ₱200,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,Walking,Yes,Food Square,"Rice meal, Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200
79,0,Male,23,Bacoor,₱100 to ₱200,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Personal transportation (e.g. car, motorcycle)",Yes,Milas' Canteen,"Rice meal, Water",₱100 to ₱200
80,0,Female,22,Imus,₱200 to ₱500,1 to 2 times a week,Noon (12:00PM),Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",No,Gate 1,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Water",₱100 to ₱200
81,1,Male,22,Bacoor,₱100 to ₱200,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Around 1km (approx. distance from Gate 3 to Food Square),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Beverages (e.g., fruit/milk shake, lemonade, coffee, etc), Water",₱200 to ₱500
82,0,Male,20,General Trias,₱100 to ₱200,1 to 2 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), I bring my own food",₱100 to ₱200
83,0,Female,20,Silang,₱200 to ₱500,3 to 4 times a week,Noon (12:00PM),Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Milas' Canteen,Rice meal,₱100 to ₱200
84,0,Male,20,Silang,₱200 to ₱500,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Personal transportation (e.g. car, motorcycle)",No,Waltermart,"Rice meal, Beverages (e.g., fruit/milk shake, lemonade, coffee, etc), Water",₱200 to ₱500
85,1,Male,23,Bacoor,₱100 to ₱200,3 to 4 times a week,Noon (12:00PM),Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Beverages (e.g., fruit/milk shake, lemonade, coffee, etc), Water",₱100 to ₱200
86,0,Female,19,Bacoor,₱100 to ₱200,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200
87,0,Male,20,Dasma,₱200 to ₱500,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",Below ₱100
